ID,Orig_ON,Orig_FROM,Orig_TO,On,From,To
1,E. 53rd St. (5300S),S. State St. (0E),S. Martin Luther King Jr. Dr. (344E),53RD ST,STATE ST,DR MARTIN LUTHER KING JR DR
2,W. 123rd St. (12300S),S. Sangamon St. (932W),S. Halsted St. (800W),123RD ST,SANGAMON ST,HALSTED ST
3,S. Normal Ave. (500W),W. 59th St. (5900S),W. 63rd St. (6300S),NORMAL AVE,59TH ST,63RD ST
4,. Fort Dearborn Dr. (),. Dead end (),E. 31st St. (3100S),FORT DEARBORN  ,CERMAK RD,31ST ST
5,E. 86th St. (8600S),S. State St. (0E),S. Dr. Martin Luther King Jr. Dr. (400E),86TH ST,STATE ST,DR MARTIN LUTHER KING JR DR
6,W. 60th St. (6000S),S. Dead End (4600W),S. Pulaski Rd. (4000W),60TH ST,KNOX AVE,PULASKI RD
7,W. 61st St. (6100S),W. Dead End (4600W),W. Pulaski Rd. (4000W),61ST ST,KNOX AVE,PULASKI RD
8,W. 100th St. (10000S),S. California Ave. (2800W),. Cul-de-sac (2600W),100TH ST,CALIFORNIA AVE,MAPLEWOOD AVE
9,E. 36th Pl. (3632S),S. State St. (0E),S. Michigan Ave. (100E),36TH PL,STATE ST,MICHIGAN AVE
10,E. 54th St. (5400S),S. Indiana Ave. (200E),S. Martin Luther King Jr. Dr. (344E),54TH ST,INDIANA AVE,DR MARTIN LUTHER KING JR DR
11,W. 101st St. (10100S),S. California Ave. (2800W),. Cul-de-sac (2600W),101ST ST,CALIFORNIA AVE,MAPLEWOOD AVE
12,W. 102nd St. (10200S),S. Seeley Ave. (2032W),. Dead end (),102ND ST,SEELEY AVE,MAPLEWOOD AVE
13,N. Washtenaw Ave. (2700W),W. North Ave. (1600N),W. Division St. (1200N),WASHTENAW AVE,NORTH AVE,DIVISION ST
14,N. McLeod Ave. (6242W),W. Huntington St. (6200N),W. Norwood Ave. (6000N),MCLEOD AVE,HUNTINGTON ST,NORWOOD ST
15,W. 24th Pl. (2432S),S. Archer Ave. (660W),S. Wentworth Ave. (200W),24TH PL,ARCHER AVE,WENTWORTH AVE
16,E. 78th St. (7800S),S. Martin Luther King Jr. Dr. (400E),S. Cottage Grove Ave. (800E),78TH ST,DR MARTIN LUTHER KING JR DR,COTTAGE GROVE AVE
17,E. 77th St. (7700S),S. Stony Island Ave. (1600E),S. Luella Ave. (2232E),77TH ST,STONY ISLAND AVE,LUELLA AVE
18,E. 78th St. (7800S),S. Cottage Grove Ave. (200E),S. Martin Luther King Jr. Dr. (344E),78TH ST,COTTAGE GROVE AVE,DR MARTIN LUTHER KING JR DR
19,W. 64th St. (6400S),S. Tripp Ave. (4232W),S. Pulaski Rd. (4000W),64TH ST,TRIPP AVE,PULASKI RD
20,W. 104th St. (10400S),S. Sacramento Ave. (3000W),. Dead end (),104TH ST,SACRAMENTO AVE,ST LOUIS AVE
21,W. Gregory St. (5530N),N. Normandy Ave. (6700W),N. Melvina Ave. (6200W),GREGORY ST,NORMANDY AVE,MELVINA AVE
22,W. 51st St. (5100S),N. Central Ave. (5600W),N. Cicero Ave. (4800W),51ST ST,CENTRAL AVE,CICERO AVE
23,W. 112th St. (11200S),S. Western Ave. (2400W),S. Bell Ave. (2232W),112TH ST,WESTERN AVE,BELL AVE
24,E. 37th Pl. (3732S),S. State St. (0E),S. Indiana Ave. (200E),37TH PL,STATE ST,INDIANA AVE
25,W. 27th St. (2700S),S. Western Ave. (2400W),S. Leavitt St. (2200W),27TH ST,WESTERN AVE,LEAVITT ST
26,W. 52nd St. (5200S),S. Dead End (7152W),S. Lavergne Ave. (5000W),52ND ST,HARLEM AVE,LAVERGNE AVE
27,W. 59th St. (5900S),S. Harlem Ave. (7200W),S. Oak Park Ave. (6800W),59TH ST,HARLEM AVE,OAK PARK AVE
28,E. 78th St. (7800S),S. Stony Island Ave. (1600E),S. Paxton Ave. (2200E),78TH ST,STONY ISLAND AVE,PAXTON AVE
29,. St. Lawrence Ave. (600E),E. 87th St. (8700S),E. 92nd St. (9200S),ST LAWRENCE AVE,87TH ST,92ND ST
30,W. Carroll Ave. (328N),N. Damen Ave. (2000W),N. Paulina St. (1700W),CARROLL AVE,DAMEN AVE,PAULINA ST
31,N. Lamon Ave. (4900W),W. Carmen Ave. (5100N),W. Lawrence Ave. (4800N),LAMON AVE,CARMEN AVE,LAWRENCE AVE
32,W. 112th St. (11200S),. Alley/Dead end (2600W),S. Western Ave. (2400W),112TH ST,ROCKWELL ST,WESTERN AVE
33,W. 100th St. (10000S),S. Racine Ave. (1200W),S. Halsted St. (800W),100TH ST,RACINE AVE,HALSTED ST
34,S. Central Park Ave. (3600W),W. 79th St. (7900S),W. 81st St. (8100S),CENTRAL PARK AVE,79TH ST,81ST ST
35,N. Overhill Ave. (7700W),W. Higgins Ave. (5700N),W. Foster Ave. (5200N),OVERHILL AVE,HIGGINS AVE,FOSTER AVE
36,W. Imlay St. (6500N),N. Neva Ave. (7132W),N. Milwaukee Ave. (506W),IMLAY ST,NEVA AVE,MILWAUKEE AVE
37,E. 82nd St. (8200S),S. State St. (0E),S. Eberhart Ave. (500E),82ND ST,STATE ST,EBERHART AVE
38,W. Barry Ave. (3100N),N. Sayre Ave. (6958W),N. Narragansett Ave. (6400W),BARRY AVE,SAYRE AVE,NARRAGANSETT AVE
39,E. 101st St. (10100S),S. Merrill Ave. (2132E),S. Torrence Ave. (2634E),101ST ST,MERRILL AVE,TORRENCE AVE
40,W. 68th St. (6800S),S. Kolin Ave. (4332W),S. Pulaski Rd. (4000W),68TH ST,KOLIN AVE,PULASKI RD
41,W. Cornelia Ave. (3500N),N. Panama Ave. (8100W),N. Harlem Ave. (7200W),CORNELIA AVE,PANAMA AVE,HARLEM AVE
42,E. 82nd St. (8200S),S. Yates Ave. (2435E),S. Marquette Ave. (2700E),82ND ST,YATES AVE,MARQUETTE AVE
43,N. Nina Ave. (7200W),W. Talcott Ave. (7100N),W. Northcott Ave. (6900W),NINA AVE,TALCOTT AVE,NORTHCOTT AVE
44,W. Chase Ave. (7300N),N. Ottawa Ave. (7632W),N. Harlem Ave. (7200W),CHASE AVE,OTTAWA AVE,HARLEM AVE
45,W. 99th St. (9900S),S. Racine Ave. (1200W),S. Lowe Ave. (632W),99TH ST,RACINE AVE,LOWE AVE
46,W. Cortland St. (1900N),N. Harlem Ave. (7200W),N. Merrimac Ave. (6234W),CORTLAND ST,HARLEM AVE,MERRIMAC AVE
47,E. 107th St. (10700S),S. Mackinaw Ave. (3332E),S. Dead End (3910E),107TH ST,MACKINAW AVE,AVENUE E
48,W. Henderson St. (3334N),N. Kimball Ave. (3400W),N. Avondale Ave. (1800W),HENDERSON ST,KIMBALL AVE,AVONDALE AVE
49,W. Glenlake Ave. (6100N),N. Lawndale Ave. (3700W),N. Drake Ave. (3532W),GLENLAKE AVE,LAWNDALE AVE,DRAKE AVE
50,E. 136th St. (13600S),S. Avenue O (3432E),S. Avenue K (3624E),136TH ST,AVENUE O  ,AVENUE K  
51,W. 69th St. (6900S),S. Kostner Ave. (4432W),S. Pulaski Rd. (4000W),69TH ST,KOSTNER AVE,PULASKI RD
52,W. Wrightwood Ave. (2600N),N. Keeler Ave. (4200W),N. Pulaski Rd. (4000W),WRIGHTWOOD AVE,KEELER AVE,PULASKI RD
53,E. 111th St. (11100S),S. Green Bay Ave. (3400E),s. Avenue G (3800E),111TH ST,GREEN BAY AVE,AVENUE G
54,E. 133rd St. (13300S),S. Brainard Ave. (2900E),S. Dead End (4032E),133RD ST,BRAINARD AVE,STATE LINE RD
55,W. Glenlake Ave. (6100N),N. Kimball Ave. (3400W),N. Christiana Ave. (3332W),GLENLAKE AVE,KIMBALL AVE,CHRISTIANA AVE
56,W. 106th St. (10600S),S. Dead End (2550W),S. Seeley Ave. (2032W),106TH ST,ROCKWELL ST,SEELEY AVE
57,E. 90th St. (9000S),S. Jeffery Blvd. (2000E),S. Oglesby Ave. (2332E),90TH ST,JEFFERY BLVD,OGLESBY AVE
58,E. 84th St. (8400S),S. Essex Ave. (2500E),S. Colfax Ave. (2600E),84TH ST,ESSEX AVE,COLFAX AVE
59,W. Barry Ave. (3100N),N. Sayre Ave. (6958W),N. Nagle Ave. (6432W),BARRY AVE,SAYRE AVE,NAGLE AVE
60,W. 110th St. (11000S),S. Halsted St. (800W),S. Wallace St. (600W),110TH ST,HALSTED ST,WALLACE ST
61,W. Birchwood Ave. (7500N),N. Ozark Ave. (7732W),N. Harlem Ave. (7200W),BIRCHWOOD AVE,OZARK AVE,HARLEM AVE
62,W. Jarvis Ave. (7400N),N. Dead End (7728W),N. Harlem Ave. (7200W),JARVIS AVE,OZARK AVE,HARLEM AVE
63,W. Wabansia Ave. (1700N),N. Harlem Ave. (7200W),N. Laramie Ave. (5200W),WABANSIA AVE,HARLEM AVE,LARAMIE AVE
64,S. Campbell Ave. (2500W),W. Congress Dr. (500S),W. Roosevelt Dr. (1200S),CAMPBELL AVE,CONGRESS DR,ROOSEVELT DR
65,S. Francisco Ave. (2900W),W. Dead End (328N),W. Van Buren St. (400S),FRANCISCO AVE,FERDINAND ST,VAN BUREN ST
